Jour	A_AssimSurplus	A_DemStructLeaf	A_DemStructTot	A_GrowthStructLeaf	A_GrowthStructTot	A_IncreaseResInternodePop	A_ResInternodeMobiliDay	ApexHeight	ApexHeightGain	Assim	AssimNotUsed	AssimNotUsedCum	AssimPot	AssimSurplus	CoeffCO2Assim	CoeffCO2Tr	Conversion	ConversionEff	Cstr	CstrAssim	CstrCum	CstrMean	CulmsPerHill	CulmsPerHillFin	CulmsPerHillMax	CulmsPerPlant	CulmsPerPlantFin	CulmsPerPlantMax	CulmsPop	CumCarbonUsedPop	CumDr	CumEt	CumGrowthPop	CumIrrig	CumIrrigFin	CumLr	CumPAR	CumSupplyTot	CumTr	CumWReceived	CumWUse	CumWUseFin	DayLength	DeadLeafdrywtPop	DegresDuJour	DegresDuJourCor	DemResInternodePop	Density	Dr	DryMatAboveGroundPop	DryMatAboveGroundPopFin	DryMatAboveGroundTotPop	DryMatPanicleTotPop	DryMatResInternodePop	DryMatResInternodePopOld	DryMatStemPop	DryMatStructInternodePop	DryMatStructLeafPop	DryMatStructPaniclePop	DryMatStructRootPop	DryMatStructSheathPop	DryMatStructTotPop	DryMatTotPop	DryMatTotPopFin	DryMatVegeTotPop	DurGermFlow	DurGermMat	EauDispo	ETM	Eto	ETR	Evap	EvapPot	FertSpikeNumPop	FloodwaterDepth	FractionPlantHeightSubmer	FractionRootsLogged	FTSW	FtswMoy	GrainFillingStatus	GrainFillingStatusFin	GrainYieldPanicle	GrainYieldPop	GrainYieldPopFin	GrowthDryMatPop_V2_1	GrowthPop	HarvestIndex	Haungain	HaunIndex	HMoyCalc	Ic	IcCum	IcMean	InternodeResStatus	IrrigAutoDay	IrrigTotDay	Kce	KceReal	Kcl	Kcp	KcTot	KRolling	Lai	LaiDead	LaiFin	LastLeafLength	LastLeafLengthPot	LIRkdf	LIRkdfcl	Lr	LTRkdf	LTRkdfcl	MaxLai	NbJas	NumPhase	PanicleNumPlant	PanicleNumPop	Par	ParIntercepte	PhaseStemElongation	PlantHeight	PlantLeafNumTot	PlantWidth	RayExtra	RelPotLeafLength	ResCapacityInternodePop	ReservePopFin	ResInternodeMobiliDay	RespMaintDebt	RespMaintTot	ResUtil	RgCalc	RootFront	RootFrontOld	RootMassPerVol	RootShootRatio	RUE	RUEgreen	RURac	SeuilTemp	SimAnthesis50	SimEmergence	SimEndCycle	SimPanIni	SimStartGermin	SimStartMatu2	SimStartPSP	Sla	SlaMitch	SlaNew	SpikeNumPanicle	SpikeNumPop	SterilityCold	SterilityDrought	SterilityHeat	SterilityTot	SterilityTotFin	StockMacropores	StockRac	StockSurface	StockTotal	StressCold	SumDDPhasePrec	SumDegreDayCor	SumDegresDay	SumPP	SupplyTot	TillerDeathPop	TMaxMoy	TMinMoy	TMoyCalc	Tr	TrEff	TrEffInst	TrPot	VDPCalc	VitesseRacinaire	VitesseRacinaireDay	VolMacropores	WueEt	WueTot
01/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,44891984	0	12,97861842	12,97861842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,05472007	0	0	10,05472007	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	8,8	0	0	0	0	0	0	1	0	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-49	NA	0	0	12,315	NA	0	0	0	0	38,1690498	0	0	0	NA	0	0	130	24,63	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	31,75	NA	0	0	NA	0	NA	NA	45	0	0
02/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,45862565	0	11,9516129	11,9516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,3	0	9,542863906	0	0	9,542863906	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	8,5	0	0	0	0	0	0	1	0	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-48	NA	0	0	12,07	NA	0	0	0	0	38,16660463	0	0	0	NA	0	0	130	24,14	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	13	28,3	1	0	0	0	0	0	0	0	0	33,8	NA	0	0	NA	0	NA	NA	45	0	0
03/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,46821809	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	6,573977303	6,573977303	6,573977303	6,573977303	6,573977303	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	9,1	0	0	0	0	0	0	1	1	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-47	NA	0	0	12,535	NA	0	0	0	0	38,16306514	0	0	0	NA	0	0	130	25,07	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	7,026022697	22,3260227	1	0	0	0	0	0	0	0	0	28,8	NA	0	0	NA	0	NA	NA	45	0	0
04/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,47769372	0	12,71491228	12,71491228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,884209065	4,045066433	2,884209065	2,884209065	4,045066433	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	6,6	0	0	0	0	0	0	1	0,713018961	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-46	NA	0	0	10,56	NA	0	0	0	0	38,15848009	0	0	0	NA	0	0	130	21,12	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	4,141813632	19,44181363	1	0	0	0	0	0	0	0	0	32,3	NA	0	0	NA	0	NA	NA	45	0	0
05/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,48704906	0	11,18415698	11,18415698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,271506055	4,947839349	2,271506055	2,271506055	4,947839349	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	9,3	0	0	0	0	0	0	1	0,459090503	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-45	NA	0	0	12,68	NA	0	0	0	0	38,15289869	0	0	0	NA	0	0	130	25,36	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	1,870307577	17,17030758	1	0	0	0	0	0	0	0	0	33,6	NA	0	0	NA	0	NA	NA	45	0	0
06/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,49628061	0	12,61446078	12,61446078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,065238941	8,0586054	2,065238941	2,065238941	8,0586054	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	6	0	0	0	0	0	0	1	0,256277462	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-44	NA	0	0	10,08	NA	0	0	0	0	38,14637049	0	0	0	NA	0	0	130	20,16	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	15,3	1	0	0	0	0	0	0	0	0	33,1	NA	0	0	NA	0	NA	NA	45	0	0
07/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,50538488	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0,243415763	3,38636536	0,243415763	0,243415763	3,38636536	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	7,3	0	0	0	0	0	0	1	0,071881128	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-43	NA	0	0	11,095	NA	0	0	0	0	38,13894533	0	0	0	NA	0	0	130	22,19	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0,2	15,5	1	0	0	0	0	0	0	0	0	30,9	NA	0	0	NA	0	NA	NA	45	0	0
08/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,51435831	0	12,94583333	12,94583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0,384413335	3,877412602	0,384413335	0,384413335	3,877412602	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	3,8	0	0	0	0	0	0	1	0,099141715	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-42	NA	0	0	8,335	NA	0	0	0	0	38,13067326	0	0	0	NA	0	0	130	16,67	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	2	17,3	1	0	0	0	0	0	0	0	0	32	NA	0	0	NA	0	NA	NA	45	0	0
09/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,52319737	0	12,76785714	12,76785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,104158795	5,092407845	2,104158795	2,104158795	5,092407845	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	3,9	0	0	0	0	0	0	1	0,413195262	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-41	NA	0	0	8,41	NA	0	0	0	0	38,12160446	0	0	0	NA	0	0	130	16,82	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	15,3	1	0	0	0	0	0	0	0	0	31	NA	0	0	NA	0	NA	NA	45	0	0
10/05/2011	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1,00E-05	0	0	0	0	NA	0	1,00E-05	0	0	0	12,53189849	0	12,58214286	12,58214286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,165531721	6,78903704	0,165531721	0,165531721	6,78903704	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	0	9	0	0	0	0	0	0	1	0,024382209	NA	0	1	0	0	0	0	0	0	NA	0	0	NA	1	0	-40	NA	0	0	12,4	NA	0	0	0	0	38,11178919	0	0	0	NA	0	0	130	24,8	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	15,3	1	0	0	0	0	0	0	0	0	32,8	NA	0	0	NA	0	NA	NA	45	0	0
