CodeVar;CodeEntity;NomVar;Valeur;Source;NomEntite;Min;Max;IndiceChampSource;IndiceTableSource;TypeVar;IndiceChampDest;IndiceTableDest
3;2;"ProfRacIni";40;"ItineraireTechnique";"Crop";0;6000;2;171;"Param";-1;-1
5;1;"Mulch";100;"ItineraireTechnique";"Plot";0;120;5;171;"Param";-1;-1
8;1;"Irrigation";0;"Irrigation";"Plot";0;0;2;79;"Input Var";-1;-1
11;3;"HMax";53;"Meteorologie";"Site";5;100;5;83;"Input Var";-1;-1
12;3;"HMin";32;"Meteorologie";"Site";5;80;6;83;"Input Var";-1;-1
13;3;"HMoy";9;"Meteorologie";"Site";20;90;7;83;"Input Var";-1;-1
14;3;"Hum";0;"Temp";"Site";0;0;-1;-1;"Input Var";-1;-1
15;3;"Ins";9;"Meteorologie";"Site";0;24;9;83;"Input Var";-1;-1
16;3;"Pluie";0;"Pluviometrie";"Site";0;200;2;81;"Input Var";-1;-1
17;3;"Rg";24.95;"Meteorologie";"Site";0;35;10;83;"Input Var";-1;-1
18;3;"TMax";38.5;"Meteorologie";"Site";15;50;2;83;"Input Var";-1;-1
19;3;"TMin";28;"Meteorologie";"Site";5;25;3;83;"Input Var";-1;-1
20;3;"TMoy";0;"Meteorologie";"Site";15;35;4;83;"Input Var";-1;-1
22;3;"Vt";2;"Meteorologie";"Site";0;20;8;83;"Input Var";-1;-1
48;5;"TxAssimBVP";1;"Variete";"Plante";0;1;75;99;"Param";-1;-1
49;5;"TxAssimMatu1";0.8;"Variete";"Plante";0;1;76;99;"Param";-1;-1
50;5;"TxAssimMatu2";0.5;"Variete";"Plante";0;1;77;99;"Param";-1;-1
53;5;"PoidsSecGrain";0.026;"Variete";"Plante";0.01;0.05;115;99;"Param";-1;-1
56;5;"TxConversion";6;"Variete";"Plante";2;8;74;99;"Param";-1;-1
57;5;"KcMax";1.2;"Variete";"Plante";1;1.5;108;99;"Param";-1;-1
58;5;"Kdf";0.55;"Variete";"Plante";0.3;1;114;99;"Param";-1;-1
65;5;"PFactor";0.2;"Variete";"Plante";0;0.7;110;99;"Param";-1;-1
66;5;"PPCrit";11;"Variete";"Plante";11;12;37;99;"Param";-1;-1
68;5;"PPSens";1;"Variete";"Plante";0.1;1;35;99;"Param";-1;-1
70;5;"TxResGrain";0.5;"Variete";"Plante";0.4;0.8;116;99;"Param";-1;-1
72;5;"VRacBVP";30;"Variete";"Plante";0;50;118;99;"Param";-1;-1
73;5;"VRacMatu1";0;"Variete";"Plante";0;50;121;99;"Param";-1;-1
74;5;"VRacMatu2";0;"Variete";"Plante";0;50;122;99;"Param";-1;-1
75;5;"VRacPSP";25;"Variete";"Plante";0;50;119;99;"Param";-1;-1
76;5;"VRacRPR";15;"Variete";"Plante";0;50;120;99;"Param";-1;-1
77;5;"SDJBVP";500;"Variete";"Plante";200;500;7;99;"Param";-1;-1
79;5;"SDJMatu1";380;"Variete";"Plante";300;450;9;99;"Param";-1;-1
80;5;"SDJMatu2";40;"Variete";"Plante";100;300;10;99;"Param";-1;-1
81;5;"SDJRPR";400;"Variete";"Plante";400;600;8;99;"Param";-1;-1
82;5;"SlaMax";0.006;"Variete";"Plante";0.004;0.008;127;99;"Param";-1;-1
83;5;"SlaMin";0.00194;"Variete";"Plante";0.001;0.004;126;99;"Param";-1;-1
84;5;"KTempMaint";25;"Variete";"Plante";20;30;106;99;"Param";-1;-1
85;5;"TBase";10;"Variete";"Plante";0;15;38;99;"Param";-1;-1
86;5;"TOpt1";24;"Variete";"Plante";15;30;39;99;"Param";-1;-1
88;3;"KPar";0.5;"Site";"Site";0.46;0.5;4;77;"Param";-1;-1
91;4;"HumPF";0.02;"TypeSol";"Soil";0;0.4;5;22;"Param";-1;-1
92;4;"PourcRuiss";10;"TypeSol";"Soil";0;60;2;22;"Param";-1;-1
94;4;"SeuilRuiss";20;"TypeSol";"Soil";0;40;1;22;"Param";-1;-1
95;2;"Assim";0;"Resjour";"Crop";0;800;61;20;"State";-1;-1
99;1;"SumDegresDay";0;"Resjour";"Plot";0;0;96;20;"State";-1;-1
104;2;"Lai";0;"Resjour";"Crop";0;10;7;20;"State";-1;-1
105;2;"NumPhase";0;"Resjour";"Crop";0;7;4;20;"State";-1;-1
111;2;"RuRac";0;"Resjour";"Crop";0;50;86;20;"State";-1;-1
112;2;"StockRac";0;"Resjour";"Crop";0;50;85;20;"State";-1;-1
113;2;"Tr";0;"Resjour";"Crop";0;15;92;20;"State";-1;-1
114;2;"TrPot";0;"Resjour";"Crop";0;15;91;20;"State";-1;-1
115;2;"VitesseRacinaire";0;"Resjour";"Crop";0;0;104;20;"State";-1;-1
116;1;"Cstr";0;"Resjour";"Plot";0;1;11;20;"State";-1;-1
117;1;"Dr";0;"Resjour";"Plot";0;40;94;20;"State";-1;-1
118;1;"EauDispo";0;"Resjour";"Plot";0;50;83;20;"State";-1;-1
119;1;"ETM";0;"Resjour";"Plot";0;12;14;20;"State";-1;-1
120;1;"ETR";0;"Resjour";"Plot";0;12;15;20;"State";-1;-1
122;1;"Evap";0;"Resjour";"Plot";0;10;90;20;"State";-1;-1
123;1;"EvapPot";0;"Resjour";"Plot";0;10;89;20;"State";-1;-1
125;1;"FTSW";0;"Resjour";"Plot";0;1;10;20;"State";-1;-1
127;1;"Lr";0;"Resjour";"Plot";0;100;93;20;"State";-1;-1
129;6;"NbJAS";0;"Resjour";"Simulation";0;0;3;20;"State";-1;-1
130;1;"PEvap";0.2;"TypeSol";"Plot";0;1;8;22;"State";-1;-1
132;1;"StockSurface";0;"Resjour";"Plot";0;10;84;20;"State";-1;-1
133;1;"StockTotal";0;"Resjour";"Plot";0;50;82;20;"State";-1;-1
134;3;"Par";0;"Resjour";"Site";0;15;76;20;"State";-1;-1
135;3;"DayLength";0;"Resjour";"Site";10;14;75;20;"State";-1;-1
136;3;"SunPosi";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
139;4;"RuSurf";0;"Temp";"Soil";0;0;-1;-1;"State";-1;-1
140;2;"Kcp";0;"Resjour";"Crop";0;1.5;87;20;"State";-1;-1
141;1;"Kce";0;"Resjour";"Plot";0;1;88;20;"State";-1;-1
144;2;"Sla";0;"Resjour";"Crop";0.001;0.008;50;20;"State";-1;-1
149;6;"DateEnCours";0;"Temp";"Simulation";0;0;-1;-1;"State";-1;-1
150;3;"Decli";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
151;3;"LatRad";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
152;3;"SunDistance";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
153;3;"RayExtra";0;"Resjour";"Site";0;50;142;20;"State";-1;-1
154;3;"Altitude";320;"Station";"Site";0;0;5;65;"State";-1;-1
155;3;"RgMax";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
156;3;"TMoyPrec";0;"Temp";"Site";0;0;-1;-1;"State";-1;-1
160;6;"DebutSimul";0;"Temp";"Simulation";0;0;-1;-1;"Input Var";-1;-1
161;6;"FinSimul";0;"Temp";"Simulation";0;0;-1;-1;"Input Var";-1;-1
162;6;"AnDebutSimul";0;"Temp";"Simulation";0;0;-1;-1;"Input Var";-1;-1
163;6;"AnFinSimul";0;"Temp";"Simulation";0;0;-1;-1;"Input Var";-1;-1
164;6;"NbAnSim";0;"Temp";"Simulation";0;0;-1;-1;"Input Var";-1;-1
165;1;"DateSemis";38513;"ItineraireTechnique";"Plot";0;0;1;171;"Param";-1;-1
166;6;"Annee";0;"Temp";"Simulation";0;0;-1;-1;"State";-1;-1
